Series_Title,Released_Year,Runtime,Genre,IMDB_Rating,Director,Star1,No_of_Votes,Gross,Metascore
Interstate 60: Episodes of the Road,2002,116,Adventure,7.7,Bob Gale,James Marsden,29999,174381905.0,
"South Park: Bigger, Longer & Uncut",1999,81,Animation,7.7,Trey Parker,Trey Parker,192112,52037603.0,73.0
Office Space,1999,89,Comedy,7.7,Mike Judge,Ron Livingston,241575,10824921.0,68.0
Happiness,1998,134,Comedy,7.7,Todd Solondz,Jane Adams,66408,2807390.0,81.0
Training Day,2001,122,Crime,7.7,Antoine Fuqua,Denzel Washington,390247,76631907.0,69.0
Rushmore,1998,93,Comedy,7.7,Wes Anderson,Jason Schwartzman,169229,17105219.0,86.0
Abre los ojos,1997,119,Drama,7.7,Alejandro Amenábar,Eduardo Noriega,64082,368234.0,
Being John Malkovich,1999,113,Comedy,7.7,Spike Jonze,John Cusack,312542,22858926.0,90.0
As Good as It Gets,1997,139,Comedy,7.7,James L. Brooks,Jack Nicholson,275755,148478011.0,67.0
The Fifth Element,1997,126,Action,7.7,Luc Besson,Bruce Willis,434125,63540020.0,52.0
Le dîner de cons,1998,80,Comedy,7.7,Francis Veber,Thierry Lhermitte,37424,4065116.0,73.0
Donnie Brasco,1997,127,Biography,7.7,Mike Newell,Al Pacino,279318,41909762.0,76.0
Shine,1996,105,Biography,7.7,Scott Hicks,Geoffrey Rush,51350,35811509.0,87.0
Primal Fear,1996,129,Crime,7.7,Gregory Hoblit,Richard Gere,189716,56116183.0,47.0
Hamlet,1996,242,Drama,7.7,Kenneth Branagh,Kenneth Branagh,35991,4414535.0,
A Little Princess,1995,97,Drama,7.7,Alfonso Cuarón,Liesel Matthews,32236,10019307.0,83.0
Do lok tin si,1995,99,Comedy,7.7,Kar-Wai Wong,Leon Lai,26429,182928453.0,71.0
Il postino,1994,108,Biography,7.7,Michael Radford,Massimo Troisi,33600,21848932.0,81.0
Clerks,1994,92,Comedy,7.7,Kevin Smith,Brian O'Halloran,211450,3151130.0,70.0
Short Cuts,1993,188,Comedy,7.7,Robert Altman,Andie MacDowell,42275,6110979.0,79.0
Philadelphia,1993,125,Drama,7.7,Jonathan Demme,Tom Hanks,224169,77324422.0,66.0
The Muppet Christmas Carol,1992,85,Comedy,7.7,Brian Henson,Michael Caine,50298,27281507.0,64.0
Malcolm X,1992,202,Biography,7.7,Spike Lee,Denzel Washington,85819,48169908.0,73.0
The Last of the Mohicans,1992,112,Action,7.7,Michael Mann,Daniel Day-Lewis,150409,75505856.0,76.0
Kurenai no buta,1992,94,Animation,7.7,Hayao Miyazaki,Shûichirô Moriyama,77798,871544815.0,83.0
Glengarry Glen Ross,1992,100,Crime,7.7,James Foley,Al Pacino,95826,10725228.0,82.0
A Few Good Men,1992,138,Drama,7.7,Rob Reiner,Tom Cruise,235388,141340178.0,62.0
Fried Green Tomatoes,1991,130,Drama,7.7,Jon Avnet,Kathy Bates,66941,82418501.0,64.0
Barton Fink,1991,116,Comedy,7.7,Joel Coen,Ethan Coen,113240,6153939.0,69.0
Miller's Crossing,1990,115,Crime,7.7,Joel Coen,Ethan Coen,125822,5080409.0,66.0
Who Framed Roger Rabbit,1988,104,Animation,7.7,Robert Zemeckis,Bob Hoskins,182009,156452370.0,83.0
Spoorloos,1988,107,Mystery,7.7,George Sluizer,Bernard-Pierre Donnadieu,33982,367916835.0,
Withnail & I,1987,107,Comedy,7.7,Bruce Robinson,Richard E. Grant,40396,1544889.0,84.0
The Last Emperor,1987,163,Biography,7.7,Bernardo Bertolucci,John Lone,94326,43984230.0,76.0
Empire of the Sun,1987,153,Action,7.7,Steven Spielberg,Christian Bale,115677,22238696.0,62.0
Der Name der Rose,1986,130,Crime,7.7,Jean-Jacques Annaud,Sean Connery,102031,7153487.0,54.0
Blue Velvet,1986,120,Drama,7.7,David Lynch,Isabella Rossellini,181285,8551228.0,76.0
The Purple Rose of Cairo,1985,82,Comedy,7.7,Woody Allen,Mia Farrow,47102,10631333.0,75.0
After Hours,1985,97,Comedy,7.7,Martin Scorsese,Griffin Dunne,59635,10600000.0,90.0
Zelig,1983,79,Comedy,7.7,Woody Allen,Woody Allen,39881,11798616.0,
The Verdict,1982,129,Drama,7.7,Sidney Lumet,Paul Newman,36096,54000000.0,77.0
Star Trek II: The Wrath of Khan,1982,113,Action,7.7,Nicholas Meyer,William Shatner,112704,78912963.0,67.0
First Blood,1982,93,Action,7.7,Ted Kotcheff,Sylvester Stallone,226541,47212904.0,61.0
Ordinary People,1980,124,Drama,7.7,Robert Redford,Donald Sutherland,47099,54800000.0,86.0
Airplane!,1980,88,Comedy,7.7,Jim Abrahams,David Zucker,214882,83400000.0,78.0
Rupan sansei: Kariosutoro no shiro,1979,100,Animation,7.7,Hayao Miyazaki,Yasuo Yamada,27014,762251541.0,71.0
Halloween,1978,91,Horror,7.7,John Carpenter,Donald Pleasence,233106,47000000.0,87.0
Le locataire,1976,126,Drama,7.7,Roman Polanski,Roman Polanski,39889,1924733.0,71.0
Love and Death,1975,85,Comedy,7.7,Woody Allen,Woody Allen,36037,745173387.0,89.0
The Taking of Pelham One Two Three,1974,104,Action,7.7,Joseph Sargent,Walter Matthau,26729,660264543.0,68.0
Blazing Saddles,1974,93,Comedy,7.7,Mel Brooks,Cleavon Little,125993,119500000.0,73.0
Serpico,1973,130,Biography,7.7,Sidney Lumet,Al Pacino,109941,29800000.0,87.0
Enter the Dragon,1973,102,Action,7.7,Robert Clouse,Bruce Lee,96561,25000000.0,83.0
Deliverance,1972,109,Adventure,7.7,John Boorman,Jon Voight,98740,7056013.0,80.0
The French Connection,1971,104,Action,7.7,William Friedkin,Gene Hackman,110075,15630710.0,94.0
Dirty Harry,1971,102,Action,7.7,Don Siegel,Clint Eastwood,143292,35900000.0,90.0
Where Eagles Dare,1968,158,Action,7.7,Brian G. Hutton,Richard Burton,51913,856773674.0,63.0
The Odd Couple,1968,105,Comedy,7.7,Gene Saks,Jack Lemmon,31572,44527234.0,86.0
The Dirty Dozen,1967,150,Action,7.7,Robert Aldrich,Lee Marvin,67183,45300000.0,73.0
Belle de jour,1967,100,Drama,7.7,Luis Buñuel,Catherine Deneuve,40274,26331.0,
A Man for All Seasons,1966,120,Biography,7.7,Fred Zinnemann,Paul Scofield,31222,28350000.0,72.0
Repulsion,1965,105,Drama,7.7,Roman Polanski,Catherine Deneuve,48883,440704699.0,91.0
Zulu,1964,138,Drama,7.7,Cy Endfield,Stanley Baker,35999,790226546.0,77.0
Goldfinger,1964,110,Action,7.7,Guy Hamilton,Sean Connery,174119,51081062.0,87.0
The Birds,1963,119,Drama,7.7,Alfred Hitchcock,Rod Taylor,171739,11403529.0,90.0
Cape Fear,1962,106,Drama,7.7,J. Lee Thompson,Gregory Peck,26457,863391987.0,76.0
Peeping Tom,1960,101,Drama,7.7,Michael Powell,Karlheinz Böhm,31354,83957.0,
The Magnificent Seven,1960,128,Action,7.7,John Sturges,Yul Brynner,87719,4905000.0,74.0
Les yeux sans visage,1960,90,Drama,7.7,Georges Franju,Pierre Brasseur,27620,52709.0,90.0
Invasion of the Body Snatchers,1956,80,Drama,7.7,Don Siegel,Kevin McCarthy,44839,244000775.0,92.0
Rebel Without a Cause,1955,111,Drama,7.7,Nicholas Ray,James Dean,83363,293034391.0,89.0
The Ladykillers,1955,91,Comedy,7.7,Alexander Mackendrick,Alec Guinness,26464,333324782.0,91.0
Sabrina,1954,113,Comedy,7.7,Billy Wilder,Humphrey Bogart,59415,199534614.0,72.0
The Quiet Man,1952,129,Comedy,7.7,John Ford,John Wayne,34677,10550000.0,
The Day the Earth Stood Still,1951,92,Drama,7.7,Robert Wise,Michael Rennie,76315,895071115.0,
The African Queen,1951,105,Adventure,7.7,John Huston,Humphrey Bogart,71481,536118.0,91.0
Gilda,1946,110,Drama,7.7,Charles Vidor,Rita Hayworth,27991,532234536.0,
Fantasia,1940,125,Animation,7.7,James Algar,Samuel Armstrong,88662,76408097.0,96.0
The Invisible Man,1933,71,Horror,7.7,James Whale,Claude Rains,30683,298791505.0,87.0
Dark Waters,2019,126,Biography,7.6,Todd Haynes,Mark Ruffalo,60408,428167124.0,73.0
Searching,2018,102,Drama,7.6,Aneesh Chaganty,John Cho,140840,26020957.0,71.0
Once Upon a Time... in Hollywood,2019,161,Comedy,7.6,Quentin Tarantino,Leonardo DiCaprio,551309,142502728.0,83.0
Nelyubov,2017,127,Drama,7.6,Andrey Zvyagintsev,Maryana Spivak,29765,566356.0,86.0
The Florida Project,2017,111,Drama,7.6,Sean Baker,Brooklynn Prince,95181,5904366.0,92.0
Just Mercy,2019,137,Biography,7.6,Destin Daniel Cretton,Michael B. Jordan,46739,279498224.0,68.0
Gifted,2017,101,Drama,7.6,Marc Webb,Chris Evans,99643,24801212.0,60.0
The Peanut Butter Falcon,2019,97,Adventure,7.6,Tyler Nilson,Michael Schwartz,66346,13122642.0,70.0
Victoria,2015,138,Crime,7.6,Sebastian Schipper,Laia Costa,52903,718096942.0,77.0
Mustang,2015,97,Drama,7.6,Deniz Gamze Ergüven,Günes Sensoy,35785,845464.0,83.0
Guardians of the Galaxy Vol. 2,2017,136,Action,7.6,James Gunn,Chris Pratt,569974,389813101.0,67.0
Baby Driver,2017,113,Action,7.6,Edgar Wright,Ansel Elgort,439406,107825862.0,86.0
Only the Brave,2017,134,Action,7.6,Joseph Kosinski,Josh Brolin,58371,18340051.0,72.0
Bridge of Spies,2015,142,Drama,7.6,Steven Spielberg,Tom Hanks,287659,72313754.0,81.0
Incredibles 2,2018,118,Animation,7.6,Brad Bird,Craig T. Nelson,250057,608581744.0,80.0
Moana,2016,107,Animation,7.6,Ron Clements,John Musker,272784,248757044.0,81.0
Sicario,2015,121,Action,7.6,Denis Villeneuve,Emily Blunt,371291,46889293.0,82.0
Creed,2015,133,Drama,7.6,Ryan Coogler,Michael B. Jordan,247666,109767581.0,82.0
Leviafan,2014,140,Crime,7.6,Andrey Zvyagintsev,Aleksey Serebryakov,49397,1092800.0,92.0
Hell or High Water,2016,102,Action,7.6,David Mackenzie,Chris Pine,204175,26862450.0,88.0
Philomena,2013,98,Biography,7.6,Stephen Frears,Judi Dench,94212,37707719.0,77.0
Dawn of the Planet of the Apes,2014,130,Action,7.6,Matt Reeves,Gary Oldman,411599,208545589.0,79.0
El cuerpo,2012,112,Mystery,7.6,Oriol Paulo,Jose Coronado,57549,140340673.0,
Serbuan maut,2011,101,Action,7.6,Gareth Evans,Iko Uwais,190531,4105123.0,73.0
End of Watch,2012,109,Action,7.6,David Ayer,Jake Gyllenhaal,228132,41003371.0,68.0
Kari-gurashi no Arietti,2010,94,Animation,7.6,Hiromasa Yonebayashi,Amy Poehler,80939,19202743.0,80.0
A Star Is Born,2018,136,Drama,7.6,Bradley Cooper,Lady Gaga,334312,215288866.0,88.0
True Grit,2010,110,Drama,7.6,Ethan Coen,Joel Coen,311822,171243005.0,80.0
Hævnen,2010,118,Drama,7.6,Susanne Bier,Mikael Persbrandt,38491,1008098.0,65.0
Despicable Me,2010,95,Animation,7.6,Pierre Coffin,Chris Renaud,500851,251513985.0,72.0
50/50,2011,100,Comedy,7.6,Jonathan Levine,Joseph Gordon-Levitt,315426,35014192.0,72.0
Kick-Ass,2010,117,Action,7.6,Matthew Vaughn,Aaron Taylor-Johnson,524081,48071303.0,66.0
Celda 211,2009,113,Action,7.6,Daniel Monzón,Luis Tosar,63882,242105549.0,
Moneyball,2011,133,Biography,7.6,Bennett Miller,Brad Pitt,369529,75605492.0,87.0
La piel que habito,2011,120,Drama,7.6,Pedro Almodóvar,Antonio Banderas,138959,3185812.0,70.0
Zombieland,2009,88,Adventure,7.6,Ruben Fleischer,Jesse Eisenberg,520041,75590286.0,73.0
Die Welle,2008,107,Drama,7.6,Dennis Gansel,Jürgen Vogel,102742,924558264.0,
Sherlock Holmes,2009,128,Action,7.6,Guy Ritchie,Robert Downey Jr.,583158,209028679.0,57.0
The Blind Side,2009,129,Biography,7.6,John Lee Hancock,Quinton Aaron,293266,255959475.0,53.0
The Visitor,2007,104,Drama,7.6,Tom McCarthy,Richard Jenkins,41544,9422422.0,79.0
Seven Pounds,2008,123,Drama,7.6,Gabriele Muccino,Will Smith,286770,69951824.0,36.0
Eastern Promises,2007,100,Action,7.6,David Cronenberg,Naomi Watts,227760,17114882.0,82.0
Stardust,2007,127,Adventure,7.6,Matthew Vaughn,Charlie Cox,255036,38634938.0,66.0
The Secret of Kells,2009,71,Animation,7.6,Tomm Moore,Nora Twomey,31779,686383.0,81.0
Inside Man,2006,129,Crime,7.6,Spike Lee,Denzel Washington,339757,88513495.0,76.0
Gone Baby Gone,2007,114,Crime,7.6,Ben Affleck,Morgan Freeman,250590,20300218.0,72.0
La Vie En Rose,2007,140,Biography,7.6,Olivier Dahan,Marion Cotillard,82781,10301706.0,66.0
Huo Yuan Jia,2006,104,Action,7.6,Ronny Yu,Jet Li,72863,24633730.0,70.0
The Illusionist,2006,110,Drama,7.6,Neil Burger,Edward Norton,354728,39868642.0,68.0
Dead Man's Shoes,2004,90,Crime,7.6,Shane Meadows,Paddy Considine,49728,6013.0,52.0
Harry Potter and the Half-Blood Prince,2009,153,Action,7.6,David Yates,Daniel Radcliffe,474827,301959197.0,78.0
300,2006,117,Action,7.6,Zack Snyder,Gerard Butler,732876,210614939.0,52.0
Match Point,2005,124,Drama,7.6,Woody Allen,Scarlett Johansson,206294,23089926.0,72.0
Watchmen,2009,162,Action,7.6,Zack Snyder,Jackie Earle Haley,500799,107509799.0,56.0
Lord of War,2005,122,Action,7.6,Andrew Niccol,Nicolas Cage,294140,24149632.0,62.0
Saw,2004,103,Horror,7.6,James Wan,Cary Elwes,379020,56000369.0,46.0
"Synecdoche, New York",2008,124,Drama,7.6,Charlie Kaufman,Philip Seymour Hoffman,83158,3081925.0,67.0
Mysterious Skin,2004,105,Drama,7.6,Gregg Araki,Brady Corbet,65939,697181.0,73.0
Jeux d'enfants,2003,93,Comedy,7.6,Yann Samuell,Guillaume Canet,67360,548707.0,45.0
Un long dimanche de fiançailles,2004,133,Drama,7.6,Jean-Pierre Jeunet,Audrey Tautou,70925,6167817.0,76.0
The Station Agent,2003,89,Comedy,7.6,Tom McCarthy,Peter Dinklage,67370,5739376.0,81.0
21 Grams,2003,124,Crime,7.6,Alejandro G. Iñárritu,Sean Penn,224545,16290476.0,70.0
Boksuneun naui geot,2002,129,Crime,7.6,Chan-wook Park,Kang-ho Song,62659,45289.0,56.0
Finding Neverland,2004,106,Biography,7.6,Marc Forster,Johnny Depp,198677,51680613.0,67.0
25th Hour,2002,135,Drama,7.6,Spike Lee,Edward Norton,169708,13060843.0,68.0
The Butterfly Effect,2004,113,Drama,7.6,Eric Bress,J. Mackye Gruber,451479,57938693.0,30.0
28 Days Later...,2002,113,Drama,7.6,Danny Boyle,Cillian Murphy,376853,45064915.0,73.0
Batoru rowaiaru,2000,114,Action,7.6,Kinji Fukasaku,Tatsuya Fujiwara,169091,195856489.0,81.0
The Royal Tenenbaums,2001,110,Comedy,7.6,Wes Anderson,Gene Hackman,266842,52364010.0,76.0
Y tu mamá también,2001,106,Drama,7.6,Alfonso Cuarón,Maribel Verdú,115827,13622333.0,88.0
Harry Potter and the Sorcerer's Stone,2001,152,Adventure,7.6,Chris Columbus,Daniel Radcliffe,658185,317575550.0,64.0
The Others,2001,101,Horror,7.6,Alejandro Amenábar,Nicole Kidman,337651,96522687.0,74.0
Blow,2001,124,Biography,7.6,Ted Demme,Johnny Depp,240714,52990775.0,52.0
Enemy at the Gates,2001,131,Drama,7.6,Jean-Jacques Annaud,Jude Law,243729,51401758.0,53.0
Minority Report,2002,145,Action,7.6,Steven Spielberg,Tom Cruise,508417,132072926.0,80.0
The Hurricane,1999,146,Biography,7.6,Norman Jewison,Denzel Washington,91557,50668906.0,74.0
American Psycho,2000,101,Comedy,7.6,Mary Harron,Christian Bale,490062,15070285.0,64.0
Lola rennt,1998,81,Crime,7.6,Tom Tykwer,Franka Potente,188317,7267585.0,77.0
The Thin Red Line,1998,170,Drama,7.6,Terrence Malick,Jim Caviezel,172710,36400491.0,78.0
Mulan,1998,88,Animation,7.6,Tony Bancroft,Barry Cook,256906,120620254.0,71.0
Fear and Loathing in Las Vegas,1998,118,Adventure,7.6,Terry Gilliam,Johnny Depp,259753,10680275.0,41.0
Funny Games,1997,108,Crime,7.6,Michael Haneke,Susanne Lothar,65058,217345863.0,69.0
Dark City,1998,100,Mystery,7.6,Alex Proyas,Rufus Sewell,187927,14378331.0,66.0
Sleepers,1996,147,Crime,7.6,Barry Levinson,Robert De Niro,186734,49100000.0,49.0
Lost Highway,1997,134,Mystery,7.6,David Lynch,Bill Pullman,131101,3796699.0,52.0
Sense and Sensibility,1995,136,Drama,7.6,Ang Lee,Emma Thompson,102598,43182776.0,84.0
Die Hard: With a Vengeance,1995,128,Action,7.6,John McTiernan,Bruce Willis,364420,100012499.0,58.0
Dead Man,1995,121,Adventure,7.6,Jim Jarmusch,Johnny Depp,90442,1037847.0,62.0
The Bridges of Madison County,1995,135,Drama,7.6,Clint Eastwood,Clint Eastwood,73172,71516617.0,69.0
Apollo 13,PG,140,Adventure,7.6,Ron Howard,Tom Hanks,269197,173837933.0,77.0
Trois couleurs: Blanc,1994,92,Comedy,7.6,Krzysztof Kieslowski,Zbigniew Zamachowski,64390,1464625.0,88.0
Falling Down,1993,113,Action,7.6,Joel Schumacher,Michael Douglas,171640,40903593.0,56.0
Dazed and Confused,1993,102,Comedy,7.6,Richard Linklater,Jason London,165465,7993039.0,78.0
My Cousin Vinny,1992,120,Comedy,7.6,Jonathan Lynn,Joe Pesci,107325,52929168.0,68.0
Omohide poro poro,1991,118,Animation,7.6,Isao Takahata,Miki Imai,27071,453243.0,90.0
Delicatessen,1991,99,Comedy,7.6,Marc Caro,Jean-Pierre Jeunet,80487,1794187.0,66.0
Home Alone,1990,103,Comedy,7.6,Chris Columbus,Macaulay Culkin,488817,285761243.0,63.0
The Godfather: Part III,1990,162,Crime,7.6,Francis Ford Coppola,Al Pacino,359809,66666062.0,60.0
When Harry Met Sally...,1989,95,Comedy,7.6,Rob Reiner,Billy Crystal,195663,92823600.0,76.0
The Little Mermaid,1989,83,Animation,7.6,Ron Clements,John Musker,237696,111543479.0,88.0
The Naked Gun: From the Files of Police Squad!,1988,85,Comedy,7.6,David Zucker,Leslie Nielsen,152871,78756177.0,76.0
"Planes, Trains & Automobiles",1987,93,Comedy,7.6,John Hughes,Steve Martin,124773,49530280.0,72.0
Lethal Weapon,1987,109,Action,7.6,Richard Donner,Mel Gibson,236894,65207127.0,68.0
Blood Simple,1984,99,Crime,7.6,Joel Coen,Ethan Coen,87745,2150000.0,82.0
On Golden Pond,1981,109,Drama,7.6,Mark Rydell,Katharine Hepburn,27650,119285432.0,68.0
Mad Max 2,1981,96,Action,7.6,George Miller,Mel Gibson,166588,12465371.0,77.0
The Warriors,1979,92,Action,7.6,Walter Hill,Michael Beck,93878,22490039.0,65.0
The Muppet Movie,1979,95,Adventure,7.6,James Frawley,Jim Henson,32802,76657000.0,74.0
Escape from Alcatraz,1979,112,Action,7.6,Don Siegel,Clint Eastwood,121731,43000000.0,76.0
Watership Down,1978,91,Animation,7.6,Martin Rosen,John Hubley,33656,232841485.0,64.0
Midnight Express,1978,121,Biography,7.6,Alan Parker,Brad Davis,73662,35000000.0,59.0
Close Encounters of the Third Kind,1977,138,Drama,7.6,Steven Spielberg,Richard Dreyfuss,184966,132088635.0,90.0
The Long Goodbye,1973,112,Comedy,7.6,Robert Altman,Elliott Gould,26337,959000.0,87.0
Giù la testa,1971,157,Drama,7.6,Sergio Leone,Rod Steiger,30144,696690.0,77.0
Kelly's Heroes,1970,144,Adventure,7.6,Brian G. Hutton,Clint Eastwood,45338,1378435.0,50.0
The Jungle Book,1967,78,Animation,7.6,Wolfgang Reitherman,Phil Harris,166409,141843612.0,65.0
Blowup,1966,111,Drama,7.6,Michelangelo Antonioni,David Hemmings,56513,632532802.0,82.0
A Hard Day's Night,1964,87,Comedy,7.6,Richard Lester,John Lennon,40351,13780024.0,96.0
Breakfast at Tiffany's,1961,115,Comedy,7.6,Blake Edwards,Audrey Hepburn,166544,679874270.0,76.0
Giant,1956,201,Drama,7.6,George Stevens,Elizabeth Taylor,34075,195217415.0,84.0
From Here to Eternity,1953,118,Drama,7.6,Fred Zinnemann,Burt Lancaster,43374,30500000.0,85.0
Lifeboat,1944,97,Drama,7.6,Alfred Hitchcock,Tallulah Bankhead,26471,852142728.0,78.0
The 39 Steps,1935,86,Crime,7.6,Alfred Hitchcock,Robert Donat,51853,302787539.0,93.0
